name,demand,cutoff,yield
Greensboro College,200,0.0,0.19
Guilford College,407,0.17339526927063859,0.2
High Point University,1257,0.19555201703174535,0.26
Livingstone College,395,0.0,0.17
Methodist University,452,0.01194095464252534,0.18
North Carolina A & T State University,1849,0.0032356854229649533,0.59
University of North Carolina at Asheville,553,0.4817445286242323,0.28
University of North Carolina at Chapel Hill,3915,0.7622207593270887,0.5
University of North Carolina at Charlotte,3541,0.13640189333647657,0.38
University of North Carolina at Greensboro,2516,0.08605654709214162,0.41
North Carolina Central University,1407,0.0,0.31
North Carolina State University at Raleigh,4398,0.5613771253916751,0.42
University of North Carolina Wilmington,2053,0.37192868650641026,0.34
University of North Carolina at Pembroke,1020,0.006340602048442538,0.46
Pfeiffer University,218,0.017370826334486035,0.14
Queens University of Charlotte,316,0.15324797261413667,0.21
St Andrews University,178,0.03565694399451,0.31
Warren Wilson College,220,0.37718899566953085,0.26
Wingate University,642,0.07095810803969202,0.15
Winston-Salem State University,685,0.0,0.24
Western Carolina University,1558,0.09353236678050092,0.27
Dickinson State University,165,0.048798943804806,0.81
University of North Dakota,2360,0.2381994817414422,0.59
North Dakota State University-Main Campus,2553,0.24656197831190788,0.52
Valley City State University,186,0.053882339376868135,0.65
Ashland University,623,0.12909503634083994,0.29
Bowling Green State University-Main Campus,3348,0.09521200790444406,0.29
Capital University,691,0.2926880973705441,0.25
Case Western Reserve University,1252,0.8380852275004175,0.16
Cedarville University,781,0.5272751180321876,0.32
University of Cincinnati-Main Campus,4486,0.3576789041437677,0.38
Ohio Christian University,719,0.012814466137065895,0.51
University of Dayton,1761,0.4794408178661779,0.21
The University of Findlay,581,0.22131370266189074,0.38
Hiram College,290,0.0929789326202166,0.2
John Carroll University,793,0.30588402825065514,0.26
Kent State University at Kent,4111,0.12889983273032057,0.31
Kenyon College,483,0.7953762444361129,0.31
Lake Erie College,205,0.07408247925439666,0.32
Muskingum University,405,0.04972036457788604,0.27
Oberlin College,781,0.8293978858003619,0.35
Ohio Dominican University,239,0.1276707764826201,0.18
Ohio Northern University,613,0.41907223881107886,0.27
Ohio State University-Main Campus,7130,0.7119958872013197,0.41
Ohio University-Main Campus,4244,0.2606640219074968,0.28
Ohio Wesleyan University,541,0.3457010135207895,0.18
Otterbein University,575,0.22892621023687537,0.25
University of Toledo,3428,0.09472401684140197,0.34
Ursuline College,103,0.11220591656358625,0.4
The College of Wooster,560,0.6133799579353946,0.18
Xavier University,1289,0.34619185227622284,0.17
Oklahoma Wesleyan University,187,0.040100023765825776,0.16
Oklahoma Christian University,533,0.34740849784836925,0.43
Oklahoma City University,351,0.4533842069363182,0.34
Southwestern Christian University,254,0.015760784381309952,0.71
George Fox University,624,0.17875818939635238,0.34
Lewis & Clark College,473,0.7102988981477757,0.12
Linfield College-McMinnville Campus,449,0.19778281944320417,0.23
Northwest Christian University,82,0.045688166491197266,0.37
Oregon Institute of Technology,363,0.0698121750246418,0.18
Reed College,354,0.8402076979680042,0.25
Corban University,222,0.14938575871674314,0.24
Willamette University,545,0.5368142502506622,0.12
Bryn Athyn College of the New Church,81,0.06432292812751497,0.4
Allegheny College,604,0.5027135070159302,0.21
Alvernia University,389,0.05010819592661344,0.28
Arcadia University,597,0.2529977490411293,0.1
Bloomsburg University of Pennsylvania,2218,0.05442128665673624,0.27
Bryn Mawr College,365,0.7981016099631706,0.34
Bucknell University,933,0.760674516259256,0.4
Cabrini College,304,0.0013482022595687306,0.19
California University of Pennsylvania,1154,0.019116277753035236,0.41
Carlow University,206,0.017825905451508865,0.32
Carnegie Mellon University,1442,0.9034710523812601,0.3
Cedar Crest College,141,0.007811090711796022,0.23
Chestnut Hill College,192,0.027164714776566637,0.18
Delaware Valley College,416,0.0387242547170014,0.32
Dickinson College,625,0.7197908719752233,0.24
Drexel University,3040,0.5202603088219792,0.08
Duquesne University,1547,0.3118758092283373,0.31
Eastern University,459,0.11146124595718544,0.39
Edinboro University of Pennsylvania,1191,0.0036318918012871924,0.43
Geneva College,334,0.1518175284296906,0.29
Gwynedd Mercy University,211,0.01323586744639377,0.26
Haverford College,330,0.8740534295010953,0.39
Holy Family University,297,0.0,0.29
Immaculata University,247,0.021745622827198226,0.19
Indiana University of Pennsylvania-Main Campus,2741,0.038237931696118076,0.32
Keystone College,321,0.0014124023671672416,0.4
Kutztown University of Pennsylvania,1815,0.026058170429241752,0.29
La Roche College,229,0.0032019803664757353,0.28
Lafayette College,635,0.7170235872424746,0.27
Lincoln University of Pennsylvania,448,0.0,0.23
Lock Haven University,1052,0.0017526629374393496,0.32
Lycoming College,347,0.10565197605425748,0.28
Mansfield University of Pennsylvania,629,0.012504333578880127,0.34
Mercyhurst University,600,0.15044026267981125,0.27
