name,demand,cutoff,yield,trueyield,preferability
Eastern Mennonite University,232,0.029173469114639455,0.33,0.0003173648834723123,3.1231259275907944e-6
California Baptist University,993,0.030051063228085723,0.33,0.0013596054563634712,1.3548235383071732e-5
University of South Carolina-Aiken,526,0.03317474231509099,0.39,0.000722520673778254,7.531821119269448e-6
Emory & Henry College,267,0.034048989245896735,0.24,0.0003670867270293468,3.876296442151365e-6
Central Washington University,1502,0.034780345066917635,0.41,0.002066599392428062,2.2060915321544757e-5
Notre Dame de Namur University,172,0.035074220825658524,0.1,0.00023672659930179147,2.537836848941257e-6
Clayton  State University,545,0.035553532077921945,0.56,0.0007504657853254538,8.101618763563996e-6
St Andrews University,178,0.03565694399451,0.31,0.0002451325406107309,2.650267251417237e-6
University of West Georgia,2214,0.036377270684062483,0.57,0.003051287310218773,3.3334748341495186e-5
Wilson College,76,0.03805227320079496,0.32,0.00010492395227806396,1.1735851680954003e-6
Indiana University of Pennsylvania-Main Campus,2741,0.038237931696118076,0.32,0.0037848956686388413,4.244657134034878e-5
Delaware Valley College,416,0.0387242547170014,0.32,0.0005747220607120665,6.487842743015715e-6
The University of Texas-Pan American,3102,0.03898342352638086,0.54,0.0042867034086542365,4.856041206406762e-5
Oklahoma Wesleyan University,187,0.040100023765825776,0.16,0.000258718894751707,2.9729425297798585e-6
Fresno Pacific University,212,0.04072502990351174,0.38,0.00029349808355440884,3.399898711814705e-6
Bethany College,184,0.041453181316704515,0.27,0.00025492769224457433,2.9811392739537186e-6
LIU Post,659,0.04184810877336446,0.14,0.0009134054005822551,1.0736571780045257e-5
Pennsylvania State University-Penn State Lehigh Valley,225,0.04295186749147401,0.29,0.00031222038836293257,3.723082058669983e-6
Florida Agricultural and Mechanical University,1145,0.04345775545826747,0.51,0.001589695165338873,1.908256552925213e-5
Fitchburg State University,759,0.04349449618340173,0.3,0.0010538209405054613,1.2655959502078004e-5
Concord University,529,0.04375254061012574,0.43,0.0007346794621391892,8.852172918576065e-6
Shippensburg University of Pennsylvania,1520,0.04439751821906648,0.31,0.0021124130442308716,2.566114741152699e-5
New Mexico State University-Main Campus,1918,0.04479902008058466,0.42,0.0026666521320997763,3.255535543434294e-5
Northwest Christian University,82,0.045688166491197266,0.37,0.00011411324748708173,1.4081329830620551e-6
Pennsylvania State University-Penn State Altoona,1379,0.04577967720501057,0.28,0.0019192348716955945,2.3709208238015098e-5
Presentation College,131,0.046195814924367064,0.49,0.00018239989904244073,2.264403771059232e-6
Becker College,361,0.046830893520636074,0.15,0.0005029788988115627,6.291606166636553e-6
Kentucky Christian University,135,0.04728277527552864,0.45,0.00018818381689293884,2.3666369067275316e-6
University of Washington-Bothell Campus,573,0.04873102192491984,0.31,0.0007999517806446993,1.0237332491733519e-5
Dickinson State University,165,0.048798943804806,0.81,0.00023036905565123372,2.9505453182324888e-6
Muskingum University,405,0.04972036457788604,0.27,0.0005659995976510431,7.330455833680725e-6
Alvernia University,389,0.05010819592661344,0.28,0.0005438610821490999,7.076881072438277e-6
Missouri Valley College,415,0.05014839801950007,0.86,0.0005802362515537724,7.553865082757391e-6
Kuyper College,37,0.050513580705971735,0.36,5.175180341263838e-5,6.766935422841212e-7
Menlo College,139,0.05078576181089176,0.09,0.00019447468553012573,2.551248540481073e-6
West Liberty University,501,0.051358876592384556,0.32,0.0007013717999244987,9.264984752288505e-6
West Virginia State University,418,0.05148293184985408,0.42,0.0005852530062282677,7.742619805013707e-6
San Diego Christian College,99,0.051747163593129704,0.36,0.00013865117865428955,1.8400969554976778e-6
Columbus State University,1045,0.052173092203487495,0.59,0.0014641978958062928,1.9531542809651014e-5
Pacific Union College,335,0.05274991129226847,0.32,0.0004696698414539426,6.3080897774213424e-6
Oakland City University,108,0.052937103462641945,0.23,0.00015144587707853604,2.038567437745725e-6
Campbellsville University,525,0.05307083914546404,0.29,0.0007362992093337572,9.926810005531175e-6
Morehouse College,488,0.053712993303492045,0.27,0.000684872087782826,9.303637596262006e-6
Valley City State University,186,0.053882339376868135,0.65,0.00026108403534581956,3.553757149084234e-6
Bloomsburg University of Pennsylvania,2218,0.05442128665673624,0.27,0.0031151314437796937,4.2671498528612535e-5
University of Nevada-Las Vegas,3773,0.05503233192765927,0.6,0.005302520758727534,7.314183371840853e-5
Tarleton State University,1617,0.05511207480739876,0.46,0.002272700682733009,3.137591600748547e-5
Louisiana College,266,0.055282124109858374,0.4,0.00037393147716136915,5.171499857172138e-6
Blue Mountain College,83,0.05611613503187686,0.25,0.00011678096289613429,1.6292268225369241e-6
